nameList,gianName,flag
村上誠一郎君,平成九年度の新生産調整推進助成補助金等についての所得税及び法人税の臨時特例に関する法律案,0
"吉井英勝君,大森猛君",大規模小売店舗における小売業の事業活動の調整に関する法律の一部を改正する等の法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,松本善明君,山本孝史君,若松謙維君",国家公務員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",国会職員の倫理の保持に関する法律案,0
"倉田栄喜君,桑原豊君,坂上富男君,田中慶秋君,富沢篤紘君,西田猛君,西野陽君,山本孝史君,若松謙維君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"太田誠一君,加藤卓二君,保岡興治君,濱田健一君,畠山健治郎君,園田博之君,上田勇君,権藤恒夫君",株式の消却の手続に関する商法の特例に関する法律の一部を改正する法律案,0
"大原一三君,杉浦正健君,与謝野馨君,濱田健一君,畠山健治郎君,園田博之君",土地の再評価に関する法律案,0
"鉢呂吉雄君,樽床伸二君,平野博文君,松崎公昭君",道路整備緊急措置法及び奥地等産業開発道路整備臨時措置法の一部を改正する法律案,0
遠藤乙彦君,優良田園住宅の建設の促進に関する法律案,0
北村直人君,漁業協同組合合併助成法の一部を改正する法律案,0
"北村哲男君,福岡宗也君,堀込征雄君,倉田栄喜君,石井啓一君,達増拓也君",行政情報の公開に関する法律案,0
"海江田万里君,粟屋敏信君,大口善徳君,鍵田節哉君,二見伸明君,中田宏君",国民の祝日に関する法律の一部を改正する法律案,0
笹川堯君,オウム真理教に係る破産手続における国の債権に関する特例に関する法律案,0
"藤村修君,山元勉君,肥田美代子君,島聡君",中高一貫教育の推進に関する法律案,0
"原田昇左右君,福永信彦君,細田博之君,深田肇君,横光克彦君,園田博之君",国民の祝日に関する法律の一部を改正する法律案,0
"伊藤英成君,枝野幸男君,伊藤忠治君,北脇保之君",行政改革基本法案,0
"松本善明君,木島日出夫君",政治資金規正法の一部を改正する法律案,0
"松本善明君,木島日出夫君",政党助成法を廃止する法律案,0
"松本善明君,木島日出夫君",国の行政機関の職員等の営利企業等への就職の制限等に関する法律案,0
"松本善明君,木島日出夫君",政治倫理の確立のための国会議員の資産等の公開等に関する法律の一部を改正する法律案,0
"松本善明君,木島日出夫君",証券取引法及び外国証券業者に関する法律の一部を改正する法律案,0
"松本善明君,木島日出夫君",租税特別措置法の一部を改正する法律案,0
